"","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat"
"y_rep[4,11]",0.443246552244378,0.00053477754103916,0.0337409415423867,0.378878090920824,0.419838958997845,0.443127085622452,0.466221355092821,0.509961703193279,3980.77906660393,1.0006377978738
"y_rep[4,12]",0.481907038564403,0.00053827224762441,0.0335180033388097,0.415804656951661,0.459865038361513,0.48183056127348,0.503792827037866,0.546151707084955,3877.50442335217,1.00024854463894
"y_rep[4,13]",0.522200659181455,0.000565461826281882,0.0346538971447089,0.453834951642792,0.498396387941021,0.522394234876188,0.545444083157865,0.589421053507967,3755.75782787692,0.999784520290657
"y_rep[4,14]",0.564058466710704,0.000563571901263619,0.0347948245058743,0.49748978419381,0.540964488805385,0.563409161909181,0.588020374823717,0.630996119049171,3811.80466479431,0.999966898864665
"y_rep[4,15]",0.604683728992555,0.000517307745333562,0.0340072153053104,0.536383272700887,0.582006019639174,0.604425288265291,0.62842038954498,0.670344164704274,4321.59615304103,1.00012490766869
"y_rep[4,16]",0.648330100190454,0.000531278970192985,0.0341436593266016,0.581255566473829,0.625453306252783,0.647887469008204,0.671637704611189,0.715202140382141,4130.23609940759,0.999188772539198
"y_rep[4,17]",0.691373677446841,0.000557999070910308,0.0338600440500131,0.625705198636004,0.667379744674615,0.691789580646329,0.714655701906721,0.757630793611704,3682.20603863287,0.999260372549512
"y_rep[4,18]",0.733528907613179,0.000528080418378662,0.034580507064306,0.665514736505654,0.710773435217678,0.733392096300531,0.756166748849862,0.801235292689446,4288.07711286277,1.00047614769146
"y_rep[4,19]",0.774323586039633,0.000568672113892328,0.0344198004601876,0.707455698060957,0.751229803479643,0.774066463126045,0.797118544824093,0.84289403363873,3663.47162602744,0.99957764820647
"y_rep[4,20]",0.815589617898034,0.000529185370125765,0.0337993755654773,0.749398780367994,0.792847768382766,0.815403086402819,0.838292885150478,0.881785610207328,4079.45075973839,1.00108594886584
"y_rep[4,21]",0.855424861222466,0.000536858490415183,0.0339359333110637,0.789097585516363,0.832769645117244,0.855320820898799,0.878537607723976,0.920979459547623,3995.76504832646,1.00043566877406
"y_rep[4,22]",0.893688738047749,0.000521792086399996,0.0340878652025823,0.828749178541643,0.870723208417266,0.892956294869101,0.91628454328595,0.962176214886221,4267.80562214302,0.999915344128157
"y_rep[4,23]",0.94610519781492,0.000550944181087615,0.0346692916574245,0.878710277875696,0.922570955452484,0.94629594745003,0.969769780915369,1.01401195646376,3959.81353647741,1.00003290755934
"y_rep[4,24]",0.978712017328335,0.000564600343373585,0.0352667408615524,0.906727871714227,0.955004250812957,0.97863752670084,1.00348523221994,1.04557637327298,3901.65062259117,0.999482648135354
"y_rep[4,25]",1.01014318235625,0.000563637191707915,0.0357750584213618,0.939882544219307,0.98643580437704,1.01042060519936,1.03429087266468,1.08159104442558,4028.66743957189,1.0002532449723
"y_rep[4,26]",1.03955753527172,0.000622233268794121,0.0366835393556132,0.968384405215768,1.01396923045574,1.03902650418464,1.06448189503951,1.11214900013833,3475.64976661257,1.00057165305092
"y_rep[4,27]",1.06616719168053,0.000560639794478759,0.0373624263532199,0.993413699445338,1.04157741053775,1.06522151992245,1.0911607669098,1.13889391826458,4441.22015540067,0.999522064617565
"y_rep[5,1]",0.116723361096855,0.000522556236536728,0.0326257019242668,0.0501849098146398,0.0951883061087356,0.117460222451684,0.138984823297565,0.180040579559317,3898.10611667648,0.999871621138484
"y_rep[5,2]",0.124632505247909,0.000564966473973184,0.0333348542803955,0.0593514056010172,0.10186707043882,0.125106106166334,0.147789711889349,0.187519456494831,3481.38271160846,0.999598259999637
"y_rep[5,3]",0.134563852535103,0.000529728524661619,0.0336083789044553,0.0694097576167068,0.111821031918337,0.134864848000949,0.157621058459913,0.199245852494662,4025.20877729407,0.999379134079785
"y_rep[5,4]",0.149187141488821,0.000528090174617131,0.033432378035767,0.0820097935583086,0.126857802600026,0.148990255761633,0.171796403599343,0.215257347034858,4007.9137159043,1.00036568092301
"y_rep[5,5]",0.165452848226515,0.000520617877368855,0.0328548800965199,0.100563610862354,0.143309665917115,0.165415905469047,0.187071437547403,0.230118052217602,3982.55350170637,1.0001731724409
"y_rep[5,6]",0.177296680177318,0.000526353328180021,0.0336427290970147,0.111595783223961,0.154503199973651,0.178058549909864,0.199700172694663,0.242473816173166,4085.33514622499,0.999285524620546
"y_rep[5,7]",0.195285096510423,0.000531372408524833,0.0335158044563686,0.129393723689958,0.172694149683111,0.19493703593267,0.218286814803663,0.259501065369844,3978.33449964795,1.00004973149795
